,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],sig,percentage_points
const,3.1431976435464026,0.18543131923282977,16.950737645347637,2.275352893679907e-62,2.7796529840565465,3.506742303036259,***,314.31976435464026
household_size,-0.03674320194868278,0.003527738384069521,-10.415512135085436,4.281276922350693e-25,-0.043659457815878225,-0.02982694608148734,***,-3.674320194868278
nr_rooms,0.003510338183538167,0.005621748871267918,0.6244210234076949,0.5323854219733428,-0.007511299302502763,0.014531975669579098,insig,0.3510338183538167
land_size,-0.006764169209290568,0.006822658426442602,-0.9914272101142646,0.3215347781132661,-0.020140232350718844,0.006611893932137708,insig,-0.6764169209290568
productive_land,0.008918951686522576,0.006027972852995425,1.4795938707803842,0.1390575108136019,-0.0028991022825845744,0.020737005655629727,insig,0.8918951686522576
mm_age,-0.009890857075833658,0.011226243657975516,-0.8810477820697261,0.37834294282408343,-0.03190030480491125,0.012118590653243937,insig,-0.9890857075833658
prop_over65,-0.07115341335572177,0.03495861568710889,-2.0353612966991665,0.0418778954506069,-0.13969101578872367,-0.002615810922719855,*,-7.115341335572177
prop_m1864,-0.08532586244745122,0.030020146994063395,-2.8422866305193226,0.004500971560940392,-0.14418142234932996,-0.02647030254557249,**,-8.532586244745122
prop_w1864,-0.09795169836127879,0.03367512164030234,-2.908725895856908,0.0036483025686674902,-0.1639729653222903,-0.03193043140026727,**,-9.79516983612788
county_bomet,-0.1544126194720311,0.048046929400978225,-3.2137874656540966,0.0013199861906857276,-0.2486103238343657,-0.060214915109696496,**,-15.441261947203111
county_bungoma,-0.020969604544823557,0.04958531722339622,-0.4228994734539947,0.6723905028124297,-0.11818337264104156,0.07624416355139446,insig,-2.096960454482356
county_busia,-0.18676722566656861,0.050244366057618575,-3.7171774732392913,0.0002041155511136739,-0.28527308231080434,-0.0882613690223329,***,-18.67672256665686
county_elgeyo_marakwet,-0.08284098140511137,0.048253597771929974,-1.7167835193690268,0.08609329723064867,-0.17744386641791982,0.011761903607697077,insig,-8.284098140511137
county_embu,-0.02319653187316248,0.048221200520843235,-0.4810442631583998,0.6305103820834007,-0.11773590092942451,0.07134283718309956,insig,-2.319653187316248
county_garissa,-0.07959874195451856,0.05296136142786901,-1.5029587572617156,0.13292571277264728,-0.1834313641138773,0.024233880204840186,insig,-7.959874195451857
county_homa_bay,0.00667333452671341,0.04925692072059155,0.13548014023385072,0.8922388311739626,-0.0898966006113845,0.10324326966481133,insig,0.667333452671341
county_isiolo,-0.04416502841072269,0.050627639245799244,-0.8723501444793758,0.3830678204586271,-0.14342230569557723,0.055092248874131874,insig,-4.416502841072269
county_kajiado,-0.18609151240084523,0.050562266285419454,-3.6804424736497245,0.00023578470593298774,-0.28522062368483525,-0.08696240111685524,***,-18.609151240084522
county_kakamega,-0.05699304673998052,0.04937777901462471,-1.1542245900347263,0.24847451796552364,-0.15379992883791557,0.03981383535795454,insig,-5.699304673998052
county_kericho,-0.0708352144628237,0.04779335944236105,-1.4821141532905049,0.13838579444516186,-0.16453578595330193,0.02286535702765452,insig,-7.08352144628237
county_kiambu,-0.12143534738988335,0.04675330272874208,-2.5973640428022575,0.009427383160952265,-0.21309685090971314,-0.029773843870053565,**,-12.143534738988334
county_kilifi,0.02021334971217803,0.04896538776850207,0.4128089377693167,0.6797679127305005,-0.07578502476272703,0.11621172418708309,insig,2.021334971217803
county_kirinyaga,-0.046261939725173305,0.05013817195363013,-0.9226889996699177,0.35622290061156414,-0.1445595990727817,0.05203571962243509,insig,-4.62619397251733
county_kisii,-0.10621955808016811,0.05126871932390921,-2.0718200002049305,0.03834381987512569,-0.20673369553118254,-0.00570542062915369,*,-10.62195580801681
county_kisumu,-0.14218300601499145,0.048870866389807165,-2.9093612722332685,0.003640910658490109,-0.2379960679840355,-0.04636994404594741,**,-14.218300601499145
county_kitui,-0.08166393795128454,0.04938062854267507,-1.6537646514707691,0.09825091646617713,-0.17847640664974135,0.015148530747172262,insig,-8.166393795128455
county_kwale,0.01677816936550948,0.04921247463156144,0.3409332591202218,0.7331710720576186,-0.07970462764312382,0.11326096637414278,insig,1.6778169365509479
county_laikipia,-0.08430243755524622,0.05057419132978031,-1.6669062883385193,0.09560844349717088,-0.1834549283104577,0.014850053199965269,insig,-8.430243755524621
county_lamu,0.02465818895592352,0.05038222171688202,0.48942242155353544,0.6245685136515193,-0.07411793858382769,0.12343431649567473,insig,2.465818895592352
county_machakos,-0.03372332234365588,0.04978064004615888,-0.6774385044544642,0.49816551037041734,-0.13132002774186596,0.0638733830545542,insig,-3.3723322343655884
county_makueni,-0.013209435957328743,0.048436819321607746,-0.2727147682762066,0.7850860401432065,-0.10817153329826162,0.08175266138360412,insig,-1.3209435957328743
county_mandera,-0.13587621606295464,0.05656573872010898,-2.4020939023757677,0.016345169713692796,-0.24677534737945883,-0.024977084746450454,*,-13.587621606295464
county_marsabit,-0.05618166478201041,0.05505716068353649,-1.020424302388884,0.3075867109582645,-0.16412317550406152,0.0517598459400407,insig,-5.618166478201041
county_meru,-0.07909683190879867,0.048719662840685025,-1.6235094271372121,0.10455644353610495,-0.17461345397218553,0.016419790154588193,insig,-7.909683190879867
county_migori,-0.10459562080685975,0.04887219345436084,-2.140186748616799,0.0323977680203072,-0.20041128453289545,-0.008779957080824047,*,-10.459562080685975
county_mombasa,-0.03598830703602526,0.05317410339330636,-0.6768013890113947,0.4985696704574645,-0.14023801734265118,0.06826140327060064,insig,-3.5988307036025264
county_muranga,-0.12138899175188975,0.0501416363194124,-2.420922025332744,0.015523798400348681,-0.21969344311113823,-0.023084540392641267,*,-12.138899175188975
county_nairobi_city,-0.028749731462169588,0.052356956097375326,-0.549110063020085,0.5829594411737113,-0.1313973955951429,0.07389793267080375,insig,-2.8749731462169588
county_nakuru,-0.06492437028206535,0.046926907814666054,-1.3835211673967267,0.16657948144237222,-0.1569262327127256,0.02707749214859488,insig,-6.492437028206536
county_nandi,-0.06750751979966826,0.04791018686422875,-1.4090431329557493,0.15889728230647968,-0.16143713558254374,0.026422095983207203,insig,-6.750751979966826
county_narok,0.03198819987022167,0.04744409301986829,0.6742293473041182,0.5002030405374718,-0.06102762244648326,0.12500402218692658,insig,3.1988199870221665
county_nyamira,-0.09735714695534994,0.04838694283252695,-2.0120541050157845,0.04427869093333667,-0.19222145967546234,-0.002492834235237565,*,-9.735714695534995
county_nyandarua,-0.04335939964746627,0.04865328924438491,-0.89119153752735,0.37287805071435476,-0.13874589392787734,0.05202709463294482,insig,-4.335939964746627
county_nyeri,-0.0445996041396642,0.04709243389617619,-0.9470651748005234,0.3436606699466258,-0.1369259863072721,0.047726778027943687,insig,-4.45996041396642
county_samburu,-0.13155401682097767,0.0494807215393744,-2.658692370043417,0.007874544651093888,-0.2285627213794441,-0.034545312262511216,**,-13.155401682097768
county_siaya,-0.06829205619187438,0.04989305074024219,-1.3687689002507142,0.17114555488499578,-0.16610914673145435,0.029525034347705592,insig,-6.829205619187438
county_taita_taveta,-0.06619994460071232,0.05193036260068577,-1.2747830225979997,0.2024573676022558,-0.1680112570961294,0.03561136789470476,insig,-6.619994460071233
county_tana_river,-0.1536341480160463,0.05343051540809574,-2.8754008237166997,0.004055679040056194,-0.258386563146169,-0.04888173288592362,**,-15.36341480160463
county_tharaka_nithi,-0.013622194589614129,0.04708412102236208,-0.2893161068706034,0.7723539290897519,-0.10593227907410872,0.07868788989488047,insig,-1.362219458961413
county_trans_nzoia,-0.04428802094387522,0.049457963657936324,-0.8954679422343846,0.3705888924465456,-0.14125210787090625,0.05267606598315581,insig,-4.428802094387522
county_turkana,-0.1568322372424784,0.0517438347913801,-3.030935721613829,0.002453003015840702,-0.25827785537083836,-0.05538661911411846,**,-15.683223724247842
county_uasin_gishu,-0.04745519817463032,0.047755522510846214,-0.9937112124331237,0.32042137548778205,-0.14108158902269813,0.04617119267343748,insig,-4.745519817463032
county_vihiga,-0.1906286663612603,0.04984545173643883,-3.824394397491313,0.0001330175037036205,-0.2883524373704538,-0.09290489535206678,***,-19.06286663612603
county_wajir,-0.024160134985363364,0.05917743819738808,-0.40826598314000223,0.6830994580301137,-0.14017959549482928,0.09185932552410256,insig,-2.416013498536336
county_west_pokot,-0.041778613706017334,0.05019425844707393,-0.8323384984374207,0.4052657646526744,-0.1401862326076286,0.05662900519559394,insig,-4.177861370601733
hhhead_sex_male,-0.0028299401659151926,0.01397797278615854,-0.2024571237338146,0.8395692916555186,-0.03023425017096857,0.02457436983913818,insig,-0.28299401659151924
hhhead_working_true,0.02137158175309157,0.029345196133670877,0.7282821234433554,0.46648196386873675,-0.03616071311605723,0.07890387662224037,insig,2.137158175309157
marital_status_living_together,-0.08048066903106883,0.09481204182150978,-0.8488443818410667,0.39601681480939066,-0.26636303023165886,0.10540169216952121,insig,-8.048066903106884
marital_status_monogamous_married,-0.07496647004418859,0.034697983601849225,-2.1605425521093755,0.030787705992658784,-0.14299309405628585,-0.006939846032091315,*,-7.496647004418859
marital_status_never_married,-0.0382206863179151,0.03763417345847664,-1.0155845819248717,0.30988641126779337,-0.11200381438791047,0.03556244175208027,insig,-3.82206863179151
marital_status_polygamous_married,-0.029156458052078303,0.037342061432164717,-0.7807940144130416,0.4349681571062145,-0.10236689016338765,0.04405397405923105,insig,-2.9156458052078302
marital_status_separated,-0.054590217502576296,0.03923906422077525,-1.3912211870147844,0.16423288608949693,-0.1315197906720949,0.022339355666942312,insig,-5.459021750257629
marital_status_widow_or_widower,-0.09170068997354373,0.036075642594583554,-2.5419003898023926,0.011061193987607255,-0.16242826316444656,-0.02097311678264091,*,-9.170068997354374
education_level_madrasa_duksi,-0.010882941057189953,0.07124276321830558,-0.15275854789407745,0.8785961089527037,-0.15055689798350133,0.12879101586912142,insig,-1.0882941057189952
education_level_other,0.0016657856391784076,0.15667375693818042,0.01063219311090935,0.9915174077805304,-0.3054986559057274,0.3088302271840842,insig,0.16657856391784076
education_level_post_primary_vocational,-0.05198634778458159,0.04170845685146211,-1.2464222296625003,0.21267972343613875,-0.13375725254136356,0.029784556972200373,insig,-5.198634778458159
education_level_pre_primary,-0.07359593621348615,0.08689432441425021,-0.8469590702222757,0.39706673843489015,-0.24395533241189726,0.09676345998492497,insig,-7.359593621348615
education_level_primary,0.012678134050046521,0.013791638296885182,0.9192623658720702,0.3580117450482102,-0.014360860598710204,0.03971712869880325,insig,1.2678134050046521
education_level_secondary,-0.02365546639424496,0.015648274924056634,-1.511698031191834,0.13068678442700504,-0.05433446281408298,0.007023530025593059,insig,-2.365546639424496
education_level_university_postgraduate,0.036477988321618415,0.06488849243474079,0.5621642136054371,0.5740344804029374,-0.09073819600255306,0.1636941726457899,insig,3.6477988321618415
education_level_university_undergraduate,0.03280709296038792,0.03178900047126957,1.0320265649760987,0.3021197682660471,-0.029516366742445878,0.0951305526632217,insig,3.2807092960387916
dwelling_flat,0.003272201566497065,0.0369887463194835,0.08846478705263557,0.9295115358571435,-0.06924554377073484,0.07578994690372896,insig,0.3272201566497065
dwelling_landhi,0.01910036499301636,0.0218717170834095,0.8732906026616762,0.3825551920950425,-0.023779909884189116,0.06198063987022184,insig,1.910036499301636
dwelling_maisonnette,-0.010986256669814808,0.06444609200454753,-0.17047203838270877,0.8646472266448069,-0.13733509930425353,0.1153625859646239,insig,-1.0986256669814807
dwelling_manyatta_traditional_house,-0.0351238346475206,0.026676759641566294,-1.316645466670267,0.18803014349055094,-0.08742456539952906,0.017176896104487867,insig,-3.5123834647520598
dwelling_other,0.12731308959828708,0.07819622868698692,1.6281231427146048,0.10357462972883945,-0.025993382302003293,0.2806195614985775,insig,12.731308959828707
dwelling_shanty,0.14770955467970515,0.05415289237873361,2.7276392486417254,0.0064057544598326846,0.04154089395040128,0.253878215409009,**,14.770955467970515
dwelling_swahili,-0.01656047405772812,0.022075192940755488,-0.7501847934997647,0.45318591286636645,-0.05983967054957396,0.02671872243411772,insig,-1.6560474057728118
ownership_dwelling_no_rent_squatting,-0.12762651565975763,0.10629482334600376,-1.2006842068340091,0.22994220084501818,-0.3360212761496879,0.08076824483017264,insig,-12.762651565975764
ownership_dwelling_owns,0.1642648983981687,0.21997280764972885,0.7467509286863039,0.45525619316456345,-0.266999570758938,0.5955293675552754,insig,16.42648983981687
ownership_dwelling_pays_rent_lease,-0.006503422592634408,0.02465561506614798,-0.2637704464150063,0.7919698954443459,-0.05484162792288482,0.041834782737616004,insig,-0.6503422592634408
tenure_status_constructed_loan,-0.15924352863452104,0.22250067924414765,-0.7156990674162608,0.474217422953339,-0.5954639794555082,0.2769769221864661,insig,-15.924352863452103
tenure_status_constructed_cash,-0.18897236693156763,0.21908495417871726,-0.8625529198934151,0.38843312970653854,-0.618496167958117,0.24055143409498173,insig,-18.897236693156763
tenure_status_constructed_cash_&_loan,-0.24029369111967752,0.22343836768510647,-1.0754361196297557,0.28224199097735,-0.6783525132923127,0.19776513105295773,insig,-24.029369111967753
tenure_status_gift,-0.20797083189605145,0.22256347298602983,-0.9344338004156938,0.35013449571020316,-0.6443143920688196,0.2283727282767167,insig,-20.797083189605146
tenure_status_inherited,-0.25326163871451135,0.22210231385666138,-1.1402926620474532,0.2542301498967334,-0.6887010801043765,0.18217780267535377,insig,-25.326163871451136
tenure_status_other_specify,-0.17476299491935893,0.22489060873687608,-0.7771022360646154,0.4371427153325489,-0.6156689870352758,0.26614299719655793,insig,-17.476299491935894
tenure_status_purchased_cash,-0.05915108528138635,0.22163795354999782,-0.2668815712018513,0.7895735968825537,-0.49368013186704557,0.37537796130427287,insig,-5.915108528138635
tenure_status_purchased_cash_&_loan,-0.21332181860680555,0.22469344054254806,-0.9493905033084881,0.3424772811875474,-0.6538412555045114,0.2271976182909003,insig,-21.332181860680556
tenure_status_purchased_loan,-0.08314774819122203,0.23337791091404356,-0.3562794262129056,0.721649413259501,-0.540693396395179,0.374397900012735,insig,-8.314774819122203
roof_material_concrete,0.09915340838561777,0.06534719446818582,1.5173322924198445,0.12925892184355536,-0.028962077497998964,0.22726889426923452,insig,9.915340838561777
roof_material_corrugated_iron_sheets,0.042403918398237934,0.055730976088453295,0.7608680373897749,0.44677908840647895,-0.0668586312559254,0.15166646805240128,insig,4.240391839823793
roof_material_dung__mud,0.03368807748056181,0.07463842942765431,0.451350299556009,0.651760664819174,-0.11264320314341937,0.180019358104543,insig,3.368807748056181
roof_material_grass__thatch__makuti,0.0238410554350655,0.06075258770881581,0.39242864105368674,0.694761665852718,-0.09526654139973496,0.14294865226986597,insig,2.38410554350655
roof_material_other,0.06201466860220045,0.0761989269546934,0.8138522559388971,0.4157762539261671,-0.08737602261352584,0.21140535981792674,insig,6.201466860220045
roof_material_tiles,0.17228416652044842,0.09422233209627891,1.8284854841461984,0.0675484105716433,-0.012442047907612164,0.357010380948509,insig,17.228416652044842
roof_material_tin_cans,-0.25964237003312324,0.3204506530757642,-0.8102413508632668,0.41784790001378136,-0.8878972087394925,0.3686124686732461,insig,-25.964237003312324
wall_material_bricks,0.010730418994304085,0.02669023775083235,0.40203534694888404,0.6876787018144332,-0.04159673606759964,0.06305757405620781,insig,1.0730418994304085
wall_material_cane_palm_trunks,-0.13155816812665305,0.039463279222862094,-3.333685662149384,0.0008645438678381517,-0.20892732273755604,-0.05418901351575005,***,-13.155816812665305
